やっぱり,仍然；果然；到底还是，毕竟还是
ゆっくり,不着急，慢慢；有余的，充裕的；舒畅，安静，舒适
おもいきり,下狠心，狠狠的，尽量的，尽情的
おもいっきり,（おもいきり的口语）
,一~型副词
一応【いちおう】,大致，大体·首先，暂且
一時【いちじ】,一时，同时，一下子，一起·暂时
一段と【いちたんと】,更加，越发
一度に【いちどに】,同时，一下子
一番【いちばん】,最，最好·试试，试一下
一部【いちぶ】,一部分
一種【いっしゅ】,稍微
一瞬【いっしゅん】,一刹那，一瞬间
一層【いっそう】,越发，更加
一体【いったい】,究竟，到底·总的来说，一般来讲
一斉に【いっせいに】,一齐，同时
一般に【いっぱんに】,一般的，普遍的
一定【いってい】,一定，适度
一方【いっぽう】,另一方面，又
一生懸命【いっしょうげんめい】,拼命，努力
万一【まんいち】,万一，假如
再三【さいさん】,屡次，再三
第一に【だいいちに】,首先
,~に型副词
いまに,不久，即将，早晚；至今，直到现在
おもに,只要，大部分，多半
げんに,实际上，现实上，真实地；严格，严厉，强烈的
さきに,不久前，从前，以前
さらに,再，进一步；将，更加；愈发；（接否定）一点也（不）
じかに,直接地
じつに,的确，实在，简直
すぐに,立即，马上；（距离，关系）非常靠近，很近
すでに,已经，早就；以前，以往
たまに,有时，偶尔
たんに,只，仅，单
つねに,平时，常常，经常
とくに,特别，特
ともに,一起，共同，同时
べつに,另外，除外；（后接否定）特别，显著
まさに,的确，确实；可以说......当然，应当
わりに,比较地，意外
いちどに,同时，一下子，一起
おおいに,很，甚，非常，很多
かわりに,取代，作为补偿；但，不过
きゅうに,急忙，突然
しきりに,频繁，屡次，不断；热心地，强烈地
しだいに,逐渐地，慢慢地
たしかに,确实
ただちに,立刻，马上；直接
とっくに,很早，已经
とたんに,突然
にわかに,突然，骤然，冷不防；马上，立刻；病情骤变
はじめに,最初，最先
めったに,（后接否定）几乎不......很少......
やたらに,胡乱地，任意地，随便地
あんなに,那么地，那样地
こんなに,这样地，这么地
そんなに,那么地，那样地
どんなに,哪样地
あきらかに,明亮地，清楚地，没有疑问地
いっせいに,一齐，同时
おたがいに,互相，相互；轮流，交替
ひじょうに,非常
ひっしに,拼命地，死命地
ひとりでに,自然地，自动地
まっさきに,最先，首先
ようするに,总之，综上所述，归根结蒂
わりあいに,比较地，意外地
,其他副词
いわば,可以说，就好比是うんと很多地，用力
およそ,大约，大体；（后接否定）根本不，全然不，完全不
さすが,到底，还是；的确，到底是，真不愧是
じつは,实际上，老实说
すべて,所有，全部，一切
せめて,至少；总算，还算
たしか,确实，的确；似乎，大概
たぶん,恐怕，大概
どうか,请，务必；设法；是否
どうせ,反正，无论如何，无论怎样
どうも,总觉得，总有些；（接否定）怎么也不......；大概，仿佛
どこか,哪里；总觉得，不由得
どんな,什么样的，怎样的
ふだん,平时，日常
ふつう,一般，通常
ほんの,一点点，些许，仅仅
まさか,万万没想到；后接否定，怎能，决不
まるで,好像，宛如；后接否定，完全，简直
むしろ,倒不如......，宁可
もしも,假如，万一
やがて,不久，最近；大约，大致，差不多；结果，结局，归根结底
よけい,更加，愈加，格外
わざと,故意的，有意的
わりと,比较地，意外地
